Region,Subregion,Locality,Place,CollectingArea,Member,Formation,Order,Family,Subfamily,Tribe,GenusQualifier,Genus,SpeciesQualifier,Species,Subspecies,min_ma,max_ma,n_species,Delete
Tugen Hills,Tugen Hills,Chemeron (BPRP 135),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Notochoerus,NA,euilus,NA,1.6,5.3,11,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 135),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Nyanzachoerus,NA,kanamensis,NA,1.6,5.3,11,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 135),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Sivachoerus,NA,syrticus,NA,1.6,5.3,11,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 135),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,gaudryi,NA,1.6,5.3,11,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 135),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,gen,NA,sp,NA,1.6,5.3,11,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 136),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Antilopinae,Antilopini,NA,Gazella,NA,sp,NA,2.75,2.75,10,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 136),NA,NA,Chemeron,Chemeron,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Hipparion,NA,sp,NA,2.75,2.75,10,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 136),NA,NA,Chemeron,Chemeron,Primates,Cercopithecidae,Colobinae,Colobini,NA,Paracolobus,NA,sp,NA,2.75,2.75,10,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 136),NA,NA,Chemeron,Chemeron,Artiodactyla,Giraffidae,NA,NA,NA,gen,NA,sp,NA,2.75,2.75,10,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 137),NA,NA,Chemeron,Chemeron,Artiodactyla,Camelidae,Camelinae,Camelini,NA,Camelus,NA,sp,NA,2.75,2.75,3,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 137),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,NA,NA,NA,gen,NA,sp,NA,2.75,2.75,3,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 14),NA,NA,Chemeron,Chemeron,Perissodactyla,Chalicotheriidae,Schizotheriinae,NA,NA,Ancylotherium,NA,hennigi,NA,5,5,3,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 14),NA,NA,Chemeron,Chemeron,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Hipparion,NA,sp,NA,5,5,3,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 14),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Bovini,NA,gen,NA,sp,NA,5,5,3,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 144),NA,NA,Chemeron,Chemeron,Proboscidea,Deinotheriidae,Deinotheriinae,NA,NA,Deinotherium,NA,bozasi,NA,1.6,5.3,1,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 145),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Notochoerus,NA,euilus,NA,1.6,5.3,3,NA
