Region,Subregion,Locality,Place,CollectingArea,Member,Formation,Order,Family,Subfamily,Tribe,GenusQualifier,Genus,SpeciesQualifier,Species,Subspecies,min_ma,max_ma,n_species,Delete
East,East,HID_56453,NA,NA,modern,modern,Primates,Cercopithecidae,Colobinae,Colobini,NA,Colobus,NA,guereza,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,Damaliscus,NA,lunatus,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,bicornis,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Perissodactyla,Equidae,Equinae,Equini,NA,Equus,NA,grevyi,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,camelopardalis,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,ellipsiprymnus,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Litocranius,NA,walleri,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Madoqua,NA,guentheri,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Nanger,NA,granti,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Oreotragus,NA,oreotragus,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,Oryx,NA,beisa,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Suidae,Suinae,NA,NA,Phacochoerus,NA,africanus,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Redunca,NA,fulvorufula,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Cephalophinae,Cephalophini,NA,Sylvicapra,NA,grimmia,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Bovini,NA,Syncerus,NA,caffer,NA,0,0,25,NA
East,East,HID_56453,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,imberbis,NA,0,0,25,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Aepycerotinae,Aepycerotini,NA,Aepyceros,NA,melampus,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,simum,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Chlorocebus,NA,pygerythrus,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Primates,Cercopithecidae,Colobinae,Colobini,NA,Colobus,NA,guereza,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,bicornis,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Perissodactyla,Equidae,Equinae,Equini,NA,Equus,NA,grevyi,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,camelopardalis,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,ellipsiprymnus,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Litocranius,NA,walleri,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Madoqua,NA,guentheri,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Nanger,NA,granti,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Oreotragus,NA,oreotragus,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,Oryx,NA,beisa,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Redunca,NA,fulvorufula,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Cephalophinae,Cephalophini,NA,Sylvicapra,NA,grimmia,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Bovini,NA,Syncerus,NA,caffer,NA,0,0,21,NA
West,West,HID_56532,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,imberbis,NA,0,0,21,NA
East,East,HID_56533,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,simum,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Chlorocebus,NA,pygerythrus,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,Damaliscus,NA,lunatus,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,bicornis,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Perissodactyla,Equidae,Equinae,Equini,NA,Equus,NA,grevyi,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,camelopardalis,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Litocranius,NA,walleri,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Madoqua,NA,guentheri,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Nanger,NA,granti,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Oreotragus,NA,oreotragus,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,Oryx,NA,beisa,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Cetartiodactyla,Suidae,Suinae,NA,NA,Phacochoerus,NA,africanus,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Redunca,NA,fulvorufula,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Bovini,NA,Syncerus,NA,caffer,NA,0,0,19,NA
East,East,HID_56533,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,imberbis,NA,0,0,19,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,Alcelaphus,NA,buselaphus,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,simum,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Cercopithecus,NA,mitis,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Chlorocebus,NA,pygerythrus,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Primates,Cercopithecidae,Colobinae,Colobini,NA,Colobus,NA,guereza,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,Damaliscus,NA,lunatus,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,bicornis,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Perissodactyla,Equidae,Equinae,Equini,NA,Equus,NA,grevyi,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,camelopardalis,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,ellipsiprymnus,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Litocranius,NA,walleri,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Madoqua,NA,guentheri,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Nanger,NA,granti,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Oreotragus,NA,oreotragus,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,Oryx,NA,beisa,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Suidae,Suinae,NA,NA,Phacochoerus,NA,africanus,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Redunca,NA,fulvorufula,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Cephalophinae,Cephalophini,NA,Sylvicapra,NA,grimmia,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Bovini,NA,Syncerus,NA,caffer,NA,0,0,25,NA
East,East,HID_56534,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,imberbis,NA,0,0,25,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Aepycerotinae,Aepycerotini,NA,Aepyceros,NA,melampus,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,simum,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Chlorocebus,NA,pygerythrus,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Primates,Cercopithecidae,Colobinae,Colobini,NA,Colobus,NA,guereza,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,bicornis,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Perissodactyla,Equidae,Equinae,Equini,NA,Equus,NA,grevyi,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,camelopardalis,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Suidae,Suinae,NA,NA,Hylochoerus,NA,meinertzhageni,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,ellipsiprymnus,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Litocranius,NA,walleri,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Proboscidea,Elephantidae,Elephantinae,Loxodontini,NA,Loxodonta,NA,africana,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Madoqua,NA,guentheri,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Nanger,NA,granti,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Oreotragus,NA,oreotragus,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,Oryx,NA,beisa,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Suidae,Suinae,NA,NA,Phacochoerus,NA,aethiopicus,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Artiodactyla,Suidae,Suinae,NA,NA,Potamochoerus,NA,larvatus,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Redunca,NA,fulvorufula,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Cephalophinae,Cephalophini,NA,Sylvicapra,NA,grimmia,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Bovini,NA,Syncerus,NA,caffer,NA,0,0,27,NA
West,West,HID_56613,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,imberbis,NA,0,0,27,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Aepycerotinae,Aepycerotini,NA,Aepyceros,NA,melampus,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,simum,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Chlorocebus,NA,pygerythrus,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Primates,Cercopithecidae,Colobinae,Colobini,NA,Colobus,NA,guereza,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,bicornis,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Perissodactyla,Equidae,Equinae,Equini,NA,Equus,NA,grevyi,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,camelopardalis,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,ellipsiprymnus,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Litocranius,NA,walleri,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Madoqua,NA,guentheri,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Nanger,NA,granti,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Oreotragus,NA,oreotragus,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,Oryx,NA,beisa,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Redunca,NA,fulvorufula,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Cephalophinae,Cephalophini,NA,Sylvicapra,NA,grimmia,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Bovini,NA,Syncerus,NA,caffer,NA,0,0,21,NA
East,East,HID_56614,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,imberbis,NA,0,0,21,NA
East,East,HID_56615,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,simum,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Chlorocebus,NA,pygerythrus,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,Damaliscus,NA,lunatus,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,bicornis,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Perissodactyla,Equidae,Equinae,Equini,NA,Equus,NA,grevyi,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,camelopardalis,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Litocranius,NA,walleri,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Madoqua,NA,guentheri,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Nanger,NA,granti,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Oreotragus,NA,oreotragus,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,Oryx,NA,beisa,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Cetartiodactyla,Suidae,Suinae,NA,NA,Phacochoerus,NA,africanus,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Redunca,NA,fulvorufula,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Bovini,NA,Syncerus,NA,caffer,NA,0,0,19,NA
East,East,HID_56615,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,imberbis,NA,0,0,19,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Aepycerotinae,Aepycerotini,NA,Aepyceros,NA,melampus,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,Alcelaphus,NA,buselaphus,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Cephalophinae,Cephalophini,NA,Cephalophus,NA,weynsi,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,simum,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Cercopithecus,NA,ascanius,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Chlorocebus,NA,pygerythrus,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Primates,Cercopithecidae,Colobinae,Colobini,NA,Colobus,NA,guereza,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,bicornis,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Perissodactyla,Equidae,Equinae,Equini,NA,Equus,NA,quagga,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Suidae,Suinae,NA,NA,Hylochoerus,NA,meinertzhageni,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,ellipsiprymnus,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Proboscidea,Elephantidae,Elephantinae,Loxodontini,NA,Loxodonta,NA,africana,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Madoqua,NA,guentheri,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Nanger,NA,granti,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Oreotragus,NA,oreotragus,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Ourebia,NA,ourebi,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Primates,Lorisidae,NA,NA,NA,Perodicticus,NA,ibeanus,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Suidae,Suinae,NA,NA,Phacochoerus,NA,africanus,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,NA,NA,NA,Philantomba,NA,monticola,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Artiodactyla,Suidae,Suinae,NA,NA,Potamochoerus,NA,larvatus,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Raphicerus,NA,campestris,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Redunca,NA,fulvorufula,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Cephalophinae,Cephalophini,NA,Sylvicapra,NA,grimmia,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Bovini,NA,Syncerus,NA,caffer,NA,0,0,32,NA
Tugen Hills,Tugen Hills,HID_56693,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,scriptus,NA,0,0,32,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Aepycerotinae,Aepycerotini,NA,Aepyceros,NA,melampus,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,simum,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Chlorocebus,NA,pygerythrus,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Primates,Cercopithecidae,Colobinae,Colobini,NA,Colobus,NA,guereza,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,bicornis,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Perissodactyla,Equidae,Equinae,Equini,NA,Equus,NA,grevyi,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,camelopardalis,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,ellipsiprymnus,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Litocranius,NA,walleri,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Madoqua,NA,guentheri,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Antilopini,NA,Nanger,NA,granti,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Antilopinae,Neotragini,NA,Oreotragus,NA,oreotragus,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,Oryx,NA,beisa,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Reduncinae,Reduncini,NA,Redunca,NA,fulvorufula,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Cephalophinae,Cephalophini,NA,Sylvicapra,NA,grimmia,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Bovini,NA,Syncerus,NA,caffer,NA,0,0,21,NA
West,West,HID_56695,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,imberbis,NA,0,0,21,NA
East,East,HID_56696,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,simum,NA,0,0,19,NA
East,East,HID_56696,NA,NA,modern,modern,Primates,Cercopithecidae,Cercopithecinae,Cercopithecini,NA,Chlorocebus,NA,pygerythrus,NA,0,0,19,NA
East,East,HID_56696,NA,NA,modern,modern,Cetartiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,Damaliscus,NA,lunatus,NA,0,0,19,NA
East,East,HID_56696,NA,NA,modern,modern,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,bicornis,NA,0,0,19,NA
East,East,HID_56696,NA,NA,modern,modern,Perissodactyla,Equidae,Equinae,Equini,NA,Equus,NA,grevyi,NA,0,0,19,NA
East,East,HID_56696,NA,NA,modern,modern,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,camelopardalis,NA,0,0,19,NA
